🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.4% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[  180] BB  | 6h Kh (K6s ) | Eq: 50.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.4%
[  181] UTG | Td 5s (T5o ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.3%
[  182] BTN | 3c 4h (43o ) | Eq: 31.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.2%
[  183] HJ  | 4h Js (J4o ) | Eq: 45.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.0%
[  184] BB  | Qs Ad (AQo ) | Eq: 58.7% | PO:23.3% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.5%
[  185] BB  | Ad Ts (ATo ) | Eq: 60.7% | PO:28.6% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.9%
[  186] SB  | 3d 3c (33  ) | Eq: 53.5% | PO:25.0% | ▶ CALL  | P/L: +2.0BB | VPIP: 25.3%
[  187] BB  | Qc Kd (KQo ) | Eq: 57.6% | PO:30.3% | ▶ RAISE | P/L: +3.5BB | VPIP: 25.7%
[  188] SB  | Ts 6h (T6o ) | Eq: 41.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.5%
[  189] BTN | 9h 8c (98o ) | Eq: 45.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.4%
[  190] BTN | 4c 3c (43s ) | Eq: 37.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.3%
[  191] HJ  | Kh 5d (K5o ) | Eq: 46.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.1%
[  192] UTG | 9c 3d (93o ) | Eq: 40.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.0%
[  193] BTN | Tc Qh (QTo ) | Eq: 53.8% | PO:27.0% | ▶ RAISE | P/L: +3.5BB | VPIP: 25.4%
[  194] CO  | 4d 7h (74o ) | Eq: 38.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.3%
[  195] BB  | As 8s (A8s ) | Eq: 60.6% | PO:25.4% | ▶ RAISE | P/L: -3.0BB | VPIP: 25.6%
[  196] BB  | 6h 5c (65o ) | Eq: 40.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.5%
[  197] UTG | 3h 3d (33  ) | Eq: 54.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.4%
[  198] CO  | 6d Kc (K6o ) | Eq: 47.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.3%
[  199] UTG | Jh Kh (KJs ) | Eq: 57.1% | PO:22.5% | ▶ RAISE | P/L: +3.5BB | VPIP: 25.6%
[  200] HJ  | 7d 7c (77  ) | Eq: 67.2% | PO:24.7% | ▶ RAISE | P/L: -3.0BB | VPIP: 26.0%
[  201] HJ  | As Ac (AA  ) | Eq: 81.0% | PO:26.1% | ▶ RAISE | P/L: -3.0BB | VPIP: 26.4%
[  202] BTN | 2s 3s (32s ) | Eq: 34.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.2%
[  203] HJ  | 6h Qc (Q6o ) | Eq: 43.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.1%
[  204] BB  | Ac 9h (A9o ) | Eq: 59.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 26.0%
[  205] UTG | As Jd (AJo ) | Eq: 58.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.9%
[  206] HJ  | 8c 4d (84o ) | Eq: 39.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 25.7%
