🚀 XANDER BOT v2.7 – GTO RANGE ENGINE
   Modo: INFINITO | SimMode: 0 | Tavoli: 1
   VPIP teorico: 21.2% | Target: 18-24% | Delay: 0.6s
   Report ogni 300 mani
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[  103] BB  | Jh 3s (J3o ) | Eq: 43.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.4%
[  104] BB  | Ah 3h (A3s ) | Eq: 57.1% | PO:22.8% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.1%
[  105] BTN | Ts 7d (T7o ) | Eq: 47.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.9%
[  106] UTG | 2h 4s (42o ) | Eq: 30.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.7%
[  107] CO  | Tc 8d (T8o ) | Eq: 49.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.5%
[  108] HJ  | Qs 6d (Q6o ) | Eq: 50.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.3%
[  109] HJ  | 6h Ah (A6s ) | Eq: 58.7% | PO:26.8% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.0%
[  110] UTG | Tc 5d (T5o ) | Eq: 44.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.8%
[  111] BTN | 2d 4d (42s ) | Eq: 31.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.6%
[  112] UTG | 5s 6s (65s ) | Eq: 43.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.4%
[  113] CO  | Jh 6c (J6o ) | Eq: 48.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.2%
[  114] BB  | 9s Qd (Q9o ) | Eq: 47.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.1%
[  115] BTN | 7h 3d (73o ) | Eq: 35.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 20.9%
[  116] BB  | Kc Jh (KJo ) | Eq: 59.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 20.7%
[  117] UTG | 9h Ts (T9o ) | Eq: 50.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 20.5%
[  118] BB  | Ah 7h (A7s ) | Eq: 55.3% | PO:28.7% | ▶ RAISE | P/L: +3.5BB | VPIP: 21.2%
[  119] BB  | 9h Qh (Q9s ) | Eq: 54.9% | PO:29.1% | ▶ CALL  | P/L: -2.0BB | VPIP: 21.8%
[  120] UTG | 3d Kc (K3o ) | Eq: 43.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.7%
[  121] HJ  | 7d 7c (77  ) | Eq: 66.7% | PO:19.7% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.3%
[  122] HJ  | 7c 5s (75o ) | Eq: 41.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.1%
[  123] BB  | Ah Th (ATs ) | Eq: 61.5% | PO:33.4% | ▶ RAISE | P/L: +3.5BB | VPIP: 22.8%
[  124] CO  | 4h Ks (K4o ) | Eq: 43.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.6%
[  125] BTN | Jc 7d (J7o ) | Eq: 44.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.4%
[  126] BTN | 5s 6d (65o ) | Eq: 42.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.2%
[  127] SB  | Ac 9d (A9o ) | Eq: 54.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.0%
[  128] BTN | 5s Ks (K5s ) | Eq: 53.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.9%
[  129] SB  | 7c 7d (77  ) | Eq: 62.4% | PO:30.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.5%
[  130] BTN | Th 9c (T9o ) | Eq: 52.2% | PO:25.5% | ▶ RAISE | P/L: -3.0BB | VPIP: 23.1%
[  131] BB  | As 3c (A3o ) | Eq: 54.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.9%
[  132] BTN | Ac 5d (A5o ) | Eq: 58.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.7%
[  133] CO  | Qs Ah (AQo ) | Eq: 60.9% | PO:30.2% | ▶ RAISE | P/L: +3.5BB | VPIP: 23.3%
[  134] BTN | Kh Qh (KQs ) | Eq: 58.8% | PO:25.1% | ▶ RAISE | P/L: +3.5BB | VPIP: 23.9%
[  135] BB  | 6d 3h (63o ) | Eq: 31.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.7%
[  136] BTN | As Ah (AA  ) | Eq: 86.1% | PO:34.1% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.3%
[  137] SB  | 3d 9h (93o ) | Eq: 40.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 24.1%
[  138] CO  | 8s Jh (J8o ) | Eq: 45.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.9%
[  139] HJ  | Kd 9s (K9o ) | Eq: 48.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.7%
[  140] BB  | 7d Ks (K7o ) | Eq: 53.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[  141] HJ  | 2d Js (J2o ) | Eq: 45.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.4%
[  142] BTN | Ks Qd (KQo ) | Eq: 61.7% | PO:23.9% | ▶ RAISE | P/L: -3.0BB | VPIP: 23.9%
[  143] SB  | Qs 6c (Q6o ) | Eq: 50.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.8%
[  144] BB  | As 9d (A9o ) | Eq: 62.1% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[  145] UTG | Jc 5c (J5s ) | Eq: 47.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.4%
[  146] BTN | 9s Ah (A9o ) | Eq: 56.6% | PO:30.6% | ▶ RAISE | P/L: +3.5BB | VPIP: 24.0%
[  147] CO  | Qs 8h (Q8o ) | Eq: 47.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.8%
[  148] HJ  | 8c 4s (84o ) | Eq: 34.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.6%
[  149] UTG | 6c Qh (Q6o ) | Eq: 45.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.5%
[  150] UTG | 7d 8s (87o ) | Eq: 46.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.3%
[  151] HJ  | Ad 6s (A6o ) | Eq: 53.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.2%
[  152] HJ  | Ks 9d (K9o ) | Eq: 54.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.0%
[  153] HJ  | 4c 8h (84o ) | Eq: 34.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.9%
[  154] UTG | 3c 3h (33  ) | Eq: 50.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.7%
[  155] CO  | Ah 5h (A5s ) | Eq: 58.6% | PO:27.4% | ▶ RAISE | P/L: -3.0BB | VPIP: 23.2%
[  156] UTG | Kh 2c (K2o ) | Eq: 41.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 23.1%
[  157] UTG | 4c 2d (42o ) | Eq: 32.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.9%
[  158] CO  | As 2h (A2o ) | Eq: 53.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.8%
[  159] UTG | 7s Jh (J7o ) | Eq: 48.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.6%
[  160] BTN | 9h 7c (97o ) | Eq: 42.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.5%
[  161] BTN | Qh Ac (AQo ) | Eq: 60.1% | PO:24.7% | ▶ RAISE | P/L: +3.5BB | VPIP: 23.0%
[  162] UTG | Jc 7c (J7s ) | Eq: 45.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.8%
[  163] UTG | 3s 3h (33  ) | Eq: 49.6% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.7%
[  164] BB  | 6h 2h (62s ) | Eq: 38.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.6%
[  165] CO  | 6s 2c (62o ) | Eq: 34.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.4%
[  166] SB  | 4d 3s (43o ) | Eq: 29.9% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.3%
[  167] CO  | 7c Jd (J7o ) | Eq: 43.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.2%
[  168] BB  | 2s 8c (82o ) | Eq: 38.3% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 22.0%
[  169] HJ  | 2d 6c (62o ) | Eq: 36.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.9%
[  170] SB  | Ks 4h (K4o ) | Eq: 49.7% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.8%
[  171] UTG | 7h 5c (75o ) | Eq: 36.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.6%
[  172] CO  | 2c Kh (K2o ) | Eq: 44.2% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.5%
[  173] SB  | 6h 5c (65o ) | Eq: 39.0% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.4%
[  174] SB  | 9c 8s (98o ) | Eq: 46.5% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.3%
[  175] HJ  | Jh Ah (AJs ) | Eq: 61.9% | PO:31.0% | ▶ RAISE | P/L: +3.5BB | VPIP: 21.7%
[  176] BTN | 8s 7d (87o ) | Eq: 44.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.6%
[  177] CO  | 4s Ah (A4o ) | Eq: 52.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.5%
[  178] CO  | 4s Kh (K4o ) | Eq: 50.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.3%
[  179] SB  | Jh Th (JTs ) | Eq: 54.5% | PO:25.1% | ▶ CALL  | P/L: +2.0BB | VPIP: 21.8%
[  180] CO  | Jc 7d (J7o ) | Eq: 44.4% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.7%
[  181] BTN | 7c Qh (Q7o ) | Eq: 45.8% |   ---   | ▶ FOLD  |  0.0BB | VPIP: 21.5%
[  182] SB  | Th Ks (KTo ) | Eq: 53.5% | PO:34.3% | ▶ CALL  | P/L: -2.0BB | VPIP: 22.0%
[  183] HJ  | Ts Ks (KTs ) | Eq: 58.2% | PO:20.0% | ▶ RAISE | P/L: -3.0BB | VPIP: 22.4%
